id/videoId;snippet/channelId;snippet/title;snippet/channelTitle
djtx5BKv2Gw;UCbb4IPdEXxadJNtH7ySB0qw;The Ringed City Lore - The Pygmy Lords - Dark Souls 3;Cheps Gaming
PQYIzoY0FpM;UCj1VtyR2BOXs9aD5GWuzQNA;"Warum spiele ich Dark Souls 3 so ""falsch""";MythosOfPlaying
BYXhQaxH6ks;UCEL76i8dFgdi9ydxYQQFqNA;DARK SOULS - Dank Meme;Chen Long
m4Jyqb-3FHw;UC6FwRO2_a4nrqWJNN32M-Dg;Top 10 Scariest Dark Souls I Monsters;Creeps Plays
rih_B_MiAEk;UCEmx7uNWukZXs-prk2fgOPQ;Dark Souls Tribute: Three Bosses, One Fight.;TheSalamanderGamer
3adpZuw0EOs;UCXa_bzvv7Oo1glaW9FldDhQ;Top 15 Toughest Bosses In The Entire DARK SOULS Series;GamingBolt
MZuqoqFk0AE;UCUoRCmXoaqoVQqQUqSnDqpg;20 coisas que você não sabia sobre Dark Souls (SEGREDOS E CURIOSIDADES!);Victor Of Astora
K-gZbY2NZw8;UCnboXA87jQYdX-QQC-1OHZg;Dark Souls 3: #2 (????????);?????? Gamer
pR7FxVdM-7w;UCUSFFNOTuV3FSUEAozRRVJg;Dark Souls SL1 Capra Demon;IamMrLove
yQ-KezRVMFE;UCcu_SCx4ZLyh6741RLjR6IA;SBOHEM DARK SOULS;Agraelovo Let's Play Šílenství
CM6jfWnBjR4;UCb_EYwlp5u4fR61ZlxeyklQ;Como matar a Midir muy facilmente / Dark Souls 3;Kaont
MNgwmjtp03s;UCE1QIfI8FV152bn1kN34gyQ;Dark Souls 2 - Scholar of the First Sin [??????? 1 ?? 2];PoleznyiBes
0k1_vrBlaZs;UCE1QIfI8FV152bn1kN34gyQ;Dark Souls 3 - The Ringed City ?? 52 ?????? [???????];PoleznyiBes
iCufsXhC0jg;UCE1QIfI8FV152bn1kN34gyQ;Dark Souls 3 - Ashes of Ariandel ?? 43 ?????? [???????] 18+;PoleznyiBes
rtBznmly65I;UCDwuBAgOqE5K28JQzum1RgA;Hrej.cz Let's Play: Dark Souls III - The Ringed City [CZ];Hrej.cz
GyjqcZU98Tw;UCHMIb2Xo03ri9FxFkktk3tw;Dark Souls 3 DLC ? 10 ???????? The Ringed City;CustomStories
S3IvRJb-Xn4;UCMP3X1PXYxZ4Cc7OengYEiw;???????!! + ??Boss  | Dark Souls III ???? 3 DLC?????#3;??RangerEast
5VH88GNPEd4;UCmYfI3wPw8OnEzVIcXyWMKg;[GER] Dark Souls 3 2.DLC;Frisazo TV
DhrrdVorOJY;UCDastihMyACIIjjXc8LYn7Q;Moggy macht einen dummen Dark Souls Run! - mit Fully, Kegy & MAve #1/2?;MythosOfStreaming
Td3GAl8ugIA;UCN0NhNuihrzwIBQ93BlmLhg;GG-STEAM.ORG | ?????? ??? ??????? | DARK SOULS 3 ????????? | Z-STEAM.RU;Rich Luck Channel
9Y1zW_mrSgk;UCxingn9LZroSvVqhMlR67qg;"Dark Souls III: The Ringed City. ????? ?????????? ""?????????????? ?????"" | ????????? ?????????";?????????
TsTruWTyoqo;UCE1QIfI8FV152bn1kN34gyQ;????? ?????????? ???? - ????? ??????? ???? Dark Souls 3 ?;PoleznyiBes
W3lOKxvWNWM;UClPq0KRbJUWxrLXd3CONucA;Dark souls 3 Ringed City ??? ??????, ?????, ???? ? ???????????? ?????;Game Doctor
F5vGKNMP8jg;UCQe4FZvOOPLkh9trqM8aW-g;KNekro en Dark Souls 3;TheikACR
NZrjQzV8f50;UCncuMsyOBwyiTv-6rc8mq0Q;Dark Souls III GTX 1050 Ti vs. GTX 1060 vs. GTX 1070 vs. GTX 1080;wolfgang
AanUgwvWhGs;UCYK4GR6zNPJCs2WBrRQAPTw;5 ????? ????? ?????????? ??????? ? DARK SOULS!;????????
pHuk1WF4s_s;UC1pAUT1bL7fV9VBp3A6F8FQ;JOGANDO DARK SOULS POR COMANDOS DE VOZ;GEMAPLYS
