id/videoId;snippet/channelId;snippet/title;snippet/channelTitle
jem-yGMjd-w;UC848OAbl00Ct442RhlfrtLg;Dark Souls 3: Embracing The Hot, Hot Embers #2;noah graham
-9da6942aA8;UCMerNanycqg8b7JfhngNoGw;Dark Souls | A por Manus y la magia negra | En Directo | #12;Okami Kirios6854
Mz4AdQQ7qc8;UCMerNanycqg8b7JfhngNoGw;Dark Souls | Seath el proximo muertin | En Directo | #11;Okami Kirios6854
JOihSVWANag;UChMoB0PEXt0cYkjKsvk3mwQ;"Dark Souls 2 ""Gutta Prøver""";Mergim Krasniqi
fimWgd3eWPM;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_?????;IGA STAR
e4-EFUN302o;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_?????????;IGA STAR
N9TMsA89-k4;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_????????????;IGA STAR
kuV9vADop50;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_??????????????;IGA STAR
Q-2zp249jfs;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_??????????????;IGA STAR
BhKApf8mFxU;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_??????????;IGA STAR
C56nUeHAOrc;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_???????????;IGA STAR
0SdrFAFsnvs;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_?????????;IGA STAR
tWJspKa0xzo;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_???????????;IGA STAR
9VOap2h1Orw;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_??????????;IGA STAR
tHQOmF1LTtE;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_??????kS?????;IGA STAR
XruJVvP25cY;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_????????????????;IGA STAR
1NEp0GqO208;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_??????????;IGA STAR
ZQ-gxR2XDfg;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_??????????;IGA STAR
M4Y8fohZeFQ;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_????????????????;IGA STAR
fG1nTlUmCfo;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_???????????;IGA STAR
tERdrISBw8o;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_???????????????;IGA STAR
Kz5V3iaAtbg;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_???????????;IGA STAR
zwkgUt4lyy0;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_??????????;IGA STAR
MuMA7rVS4DE;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_?????????;IGA STAR
nAi-xPD-NGo;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_????????;IGA STAR
LcYCWApqYkg;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_???????????;IGA STAR
dDgot1kp6EA;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_?????????????;IGA STAR
aNwKPHXZsJY;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_???????????;IGA STAR
UC8r_ZvZUyg;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_????????????????;IGA STAR
aXO8G9iy3X0;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_???????????????;IGA STAR
vM_KTBvenQI;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_???????????;IGA STAR
B7qIyr4yrKs;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_???????;IGA STAR
TmP1zDPfOok;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_??????????;IGA STAR
QFjFIg9UL_g;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_???????;IGA STAR
n2jqFjt-YN4;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_????????????;IGA STAR
dahF7UUN1IA;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_?????????;IGA STAR
HrGCPkBw6YE;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_??????????;IGA STAR
SNUhvjXL8vU;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_??????????;IGA STAR
lM96tMO_sFk;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_?????????????;IGA STAR
NzkWeecdEWY;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_??????3??;IGA STAR
9J1tc-ooRO0;UCesQrotK2cd6vlN1e_vG9fw;DARK SOULS III_????????;IGA STAR
LLWws6G3dqM;UCHDYes8H1PVBkbJZ8pfjong;[ ?? TV ] ??? ????3 Dark souls 3 ??? #40 (?? ?? ? : ???);?? TV [G]
tD4wPXfSXfo;UCMerNanycqg8b7JfhngNoGw;Dark Souls | Artorias despacito porfa xD | En Directo | #10;Okami Kirios6854
44DB79m6pW8;UCX0KeitLa33_XhI981K3dKQ;OTVÍRÁK - Dark Souls: Prepare to Die Again mode #1 CZ;Jarryn
pp0gitOhrnc;UCg9CS9PE5nVLpVEbs7C02Bg;DARK SOULS 2   ??????*;????
vZerRf1ml8I;UCVdSuIwoHAVPjAB3vzMq3pQ;Dark Souls - Demon Firesage - NO HUD, CALAMITY RING, NO DAMAGE, MELEE, SOLO (NG+7);Simte
DqLNxDiwzqg;UCYUVU4wVTcV7HRTBANsX3Pg;Cut the Crap - Dark Souls 2;nekolai huggerz
p7DzxKfpM1c;UCY48Ik2hyxOKDOAHlFtCqeA;SOY UN MANCO | DARK SOUL 3;Lord Ghoul123
7BwAY_59KIk;UCpOLLN_GxVKZYTbS4WMj66g;Darksouls;Rus Beard
ZLyjbIxo2tw;UCB199v4lKlPaDwM6CsVaIQw;dark souls 3 ! capitulo 5;AlexVenom474
