id/videoId;snippet/channelId;snippet/title;snippet/channelTitle
JwLCcCh-j70;UCVIja5Pe_zflIDue13FUrmQ;E SE DARK SOULS FOSSE NA BAHIA? EP. #05 - Os humilhados serão exaltados;Seu Pimenta Tv
7MhawL9Hbko;UCgX0bblDXkYxzcHGowin6YA;Dark Souls III: Original Game Soundtrack: Side C | Vinyl Rip (SPACELAB9);Anthony [TRP]
D3d4_6MAq4M;UCOWsWZTiXkbvQvtWO9RA0gA;Bifflé par un Dragon - Dark Souls Premier #3 -  Benzaie Live;BenzaieLive
GXc-v2j7624;UCVIja5Pe_zflIDue13FUrmQ;E SE DARK SOULS 2 FOSSE NA BAHIA? EP. #04 - Mais sustos que assistindo It - GamePain;Seu Pimenta Tv
iq44pQ6fIxE;UCdhRcZjw8rkqmAH3uURGrnw;??[LIVE]  DARK SOULS BOW / CONSUMABLES ONLY;Askaron
fKHw3-vmVEs;UCOWsWZTiXkbvQvtWO9RA0gA;Dark Souls Premier - Benzi au #Zevent -;BenzaieLive
QyOCRFq3t84;UCqg5FCR7NrpvlBWMXdt-5Vg;Yahtzee annoys his girlfriend with Dark Souls (episode 9);Escapist
0izioahNN9g;UCDastihMyACIIjjXc8LYn7Q;Moggy spielt den Dark Souls Randomizer. Cool. #1;MythosOfStreaming
zXEZxf_yVdw;UCo5_dTdIK2au04iKmJ-sWbg;Favorite Bosses: Slave Knight Gael (Dark Souls 3);The Leviafun
b4rHPH5d7z8;UCvax7WLz8o2UtGS-FL8bW4g;AS TEORIAS DE DARK SOULS MAIS MALUCAS;HadesPlays
RDs1pHQdr-Y;UCaWd5_7JhbQBe4dknZhsHJg;Dark Souls Top 5 Facts!;WatchMojo.com
CezIwfknhS4;UC1xpzaRR4NjC7AxidxGsqRA;10 ?????? ???, ??? ??? ?????? ? Dark Souls 3;GameInOnline
pxL9ASyZ8eU;UCSa-d35XCyltUYHZBDbq5mg;??????? ?????? ?????? // Dark Souls ??????? #5;?????
CVqJG3tXgnQ;UCVVAnxQ2YMC_qlc7QfPA2YQ;Dark Souls Chicken Wings! - World's Hottest Wings;AlmazanKitchen
gb6MNSChJ5A;UCVIja5Pe_zflIDue13FUrmQ;E SE DARK SOULS 2 FOSSE NA BAHIA? - GamePain;Seu Pimenta Tv
NpW-X9E7FlI;UCpLavhE9AO9DomXbhmNDE7Q;EN ESTE JUEGO MORIR ES LO NORMAL | DARK SOULS 3;Zirblake YT
-wF1FAuo5w8;UCvax7WLz8o2UtGS-FL8bW4g;POR QUE DARK SOULS 2 É TÃO ODIADO?;HadesPlays
UrpoSS2a6ek;UCjoKyJSPrvt4H9jX8iNV_2g;DOBLAJE DEIGAMER: DARK SOULS;DeiGamer
NQ8HEfAKmEE;UCqg5FCR7NrpvlBWMXdt-5Vg;Yahtzee annoys his girlfriend with Dark Souls (episode 7);Escapist
kr7-tPYQTm0;UCA7-KUzOQF-qk46knmCnCmg;¿UN DARK SOULS CHINO? - Sinner;Powerbazinga TV
8JJsQm9LK38;UCr4whHuwwQpHtHuc6Uq2A6w;IRON TARKUS SUCKS -- PAIGE PLAYS DARK SOULS (PEACHSALIVA AND THE RUBY WEAPON HOUR);QUICKSAVE
ME2cFTFBiwU;UCqg5FCR7NrpvlBWMXdt-5Vg;Yahtzee annoys his girlfriend with Dark Souls (part 6);Escapist
8GBg7HkpaJ8;UCOLBuf1DXEfdIccvGczNUzg;DARK SOULS LE JEU DE PLATEAU - En Plateau 15/06/2017;LeStream Replay
2OiRje1H2Mw;UCJ7bXZAJpeOU9eTgo5ET8hA;Intel HD 620 Gaming - Dark Souls 2 - i3-7100U, i5-7200U, i7-7500U, Kaby Lake;Brue Computing
Nr9D5C0QSJY;UCQYkkC3Eb_0p08VqWQECfnQ;Dark Souls 3 Lore | Los 3 protagonistas de la saga;Acre
IgFqrk0--y4;UC1CchA0SjApw4T-AYkN7ytg;???????? ????? ??? Dark Souls (2009 - 2016);IGM
6_zVwESfJvs;UCmEClzCBDx-vrt0GuSKBd9g;Dark Souls III -  Veja bem, Japão | NerdPlayer;Jovem Nerd
WJhwVFLTj0g;UCoprCp_dO4lrcIj2XOM39Hw;Dark Souls 3 - TwitchChat Defeats Slave Knight Gael;Wulf2k9
ypNtyMVV8S4;UCI3DTtB-a3fJPjKtQ5kYHfA;Dark Souls by BubblesDelFuego in 29:05 - SGDQ2017 - Part 132;Games Done Quick
q1xYYnOk1D4;UCI3DTtB-a3fJPjKtQ5kYHfA;Dark Souls 3 by ThorW in 1:27:47 - SGDQ2017 - Part 131;Games Done Quick
jy74uISxPsU;UCP9D9cyFUX6WYTNxbgGDeCA;Dark Souls 3 Lore - ????? ???????? ??????;Likoris
GYdIGcoTEWI;UCSa-d35XCyltUYHZBDbq5mg;? ??? ???????? ?????????! / Dark Souls ??????? #1;?????
5lhXPlMeiWw;UCqg5FCR7NrpvlBWMXdt-5Vg;Yahtzee annoys his girlfriend with Dark Souls (episode 4);Escapist
qzrojmrv5Xc;UCFiI5zUTV3WFODN6jIE1qxQ;AS MORTES MAIS IDIOTAS DE DARK SOULS;ERA Games
6EUDgSY0KY4;UCSfy5XgezSNmVZ9B8nuWYvQ;Dark Souls Kalameet vs Seath vs Priscilla - Colosseum Mode;GameModsVault
ydPqSvPWS9k;UC8E4APPCSMhdTILj4hZ52xg;70 Dark Souls Tattoos For Men;Next Luxury
sf7NRVZ2beg;UCFBkHej49dhdEx_td4tNcvQ;Dark souls 3 Soul Level 1 All Bosses:  Abyss Watchers;Opia
6dHoqFQ1w6s;UC5zM4nFLTXPsBjS7gQgQdxA;Dark Souls 3 / III: GTX 1050 2GB - G4560 - 1080p - 900p - 720p - 1440p;Santiago Santiago.
dujmXNaZAcA;UCHB8I3P20i-CJCA1yGbQLNg;Dark Souls III - What Happens After Journey 1000? (NG+999);Nemesis
ip6DjLtYwDA;UCZNuJMGQeAz6EDE8VbHfyxQ;How To Play: Dark Souls part 1;Jeviok
WoN7ewaRzrs;UCWdaIUrJ6A79Mrpb8cKetTQ;??????? ? ??????? ? Dark sousl 2;my0ct
b5U1gv-z9dE;UC1TATumw319yec1_yyTIaTg;Dark Souls társasjáték unboxing - kibontottuk a világ egyik legszebb társasát;GameStar Hungary
Qp_YlIIONas;UCogxlv0uDJyh6xBin3zalKw;"Dark Souls - ?? ""???????"" ???? (10 ????? ?????????)";WhyMe758
AB5dXOgerj0;UC4vIcQOyHOcjCgEAVsjenxg;If Dark Souls was made in 1998;98DEMAKE
deqUCKt-KXg;UCMaikIXU5cF6nS2YgJPYQsQ;Ruby Weapon Hour - Dark Souls (First Time! Blind, as in she is basically blind);PeachSaliva
c0CCphNb86U;UC6Psw3o1VVF8ssIn2kb3GyQ;[DARK SOULS III] ????????VS????????;cloudyheart1964
PADOjUlej4k;UCHMIb2Xo03ri9FxFkktk3tw;?????? DARK SOULS II ?????? [????? 2];CustomStories
5lEC4G2dCnA;UCE1QIfI8FV152bn1kN34gyQ;Dark Souls 2 - Scholar of the First Sin [??????? 2 ?? 2];PoleznyiBes
ruJmmAXNGpo;UCTh7R1L4pkFjDZ7z13VQ02A;Dark Souls 3 - ALTER DÄMONENKÖNIG ! PS4 Gameplay Deutsch German;MikeimInternet
O9cscIcmwCM;UCOOzVNnAm0z6v1ImCftzWnw;?Dark Souls 3??????;Ordinary Gaming Studio???????
