id/videoId;snippet/channelId;snippet/title;snippet/channelTitle
42abVXiwVu8;UCNkbEUMdOfAkurKkFdxu3pA;Dark Souls 3 - ????: ?????? ????? ??? ????? - 1000000 ???!;???????? ????
0m22bbn3qOw;UCNFmubY6C9pIjiSywu2hV6Q;Dark Souls 3 Lore The Lords of Cinder;Carnate
mx8Ef9fu8O8;UC6YeDetDZC_9YMGQ5CmtfGQ;Dark Souls III: Prepare to Ciao Darwin Edition;RedDeadPanda
WY1HQ_pxj08;UCy8OtXK-tZTvBzku7Li1GKQ;Dark Souls 3 2 1 Crack Humor Pt:1;OMG GAMES
nhFRytOjWj4;UCwNAc3GGeUU08uPwKcWbLlg;????? Dark Souls 3: ?????? ???? ?????;Jakir Channel
huTX2JsdwkM;UCjqHhIJDLGj7DuVztzklY_A;FIRST-TIMER IMRE ISMERKEDIK | Dark Souls III #1;GameDayIroda
4mP0si5AgB8;UCL7JL6A3ClFkopUVlugiVZg;EL REGRESO DE... Dark Souls 3 en Español - GOTH;Jaidefinichon GOTH
TcmaZYJMWmY;UCBKmBLli8lI497XFOhuPiGg;Dark Souls 3 | ????: ??? ????? ?????????? ?? 2-??? ?????.;FFLighto
W2lEzZkpoM8;UCdSlWMH-GorgJ6NtsFVRpnw;Dark Souls III ???? ???????;Wayne U
jWYZeu9DlSM;UCIp9MlCopTE2SQE5K8bScVg;Dark Souls 3 - LORE / HISTORIA - ALDRICH O Santo Devorador!;CharleZ BronsoN
jsywt74KE9A;UCIQ1PyEVzV2sc4CXHKH2cSg;??? ???? Dark Souls 3 (Cartoon Parody);Dobryak
Ulywls8HgJ8;UCtdVDhQ1WoMuuDcEk6vnylw;??? ???? Dark Souls 3 ? ????? ?????  (????????);Duke Wayne
YPIfmDPd2Ow;UCrt_PUTF9LdJyuDfXweHwuQ;Chroniques de Mr. Plouf #76 - Dark Souls 3;Monsieur Plouf
afIyUI8EDik;UCTvBRhdGaorGecbKDPQb1Yw;Dark Souls (Feb 19, 2016);Dodger's Twitch Streams (unofficial)
eJFvUwxRJxw;UCH7vazfQkjRfpCa7ShQH7lQ;???????? ??????: ?????? (CS:GO, DOTA 2, DARK SOULS 3);GetFuckShow
PCxd5SwiSFc;UCxKrf2zGbarAs-3zu_OQ-tw;I 20 VIDEOGIOCHI Più DIFFICILI di Dark Souls 3;PLAYERINSIDE
CGOF2qT6B5c;UCnV_laXNU30kB2fmFDEWrUA;???? ??????? ??????? ????? ? dark souls III;ROFL CHANNEL
TprUUgjhHF0;UCtCGyshXZEmzYZUwl6fqMOw;[Dark Souls 3] ??? ????? ????? ????? ???????? ??????? [ ?????????? ] (Pontiff Sulyvahn easy kill);23edsa
qGxvmwYceLI;UC8vP_6JYxOaLIRTnmzin_Aw;Dark Souls 3: Como Pegar o Set do Solaire;Mano770
b_aDGiSj2QM;UCM1SGyZ01eFPYR8hR2u_0gg;CANCIÓN QUE USO ELRUBIUS EN DARK SOULS 3;NoMoreCopyright
Rsn6I7qOhc0;UCB5WM5HAoJwRMe4OHDzeIOw;??? ???? Dark Souls 3;Stranded Orange
