id/videoId;snippet/channelId;snippet/title;snippet/channelTitle
n4CRy6XFa-s;UCMxsVULY_qsk_aNdAqzcNUA;DARK SOULS #18 - San Valentino da esplorare;YotobiGames
1jbPrBoCcew;UCfiIhdy7hncZvdBDbZqSIZg;Dark Lords - Dark Souls Lore: Gwyn, Lord of Sunlight and Cinder;DaveControl
JtaxoWpz4to;UC1B_JfwK3vkhm7VmB-3X_hA;Dark Souls Fist-Only Run (using Tumblebuff glitch);LobosJr
-PdmJw6-usQ;UC1B_JfwK3vkhm7VmB-3X_hA;Dark Souls 1 Stamina, No Spells challenge run Part 1;LobosJr
ISeE0UeulUc;UC1B_JfwK3vkhm7VmB-3X_hA;Dark Souls 1 Health, Sorcery-only, No shield, Gravelorded, Aggressive challenge run Part 2;LobosJr
mfltf41i7iM;UC1B_JfwK3vkhm7VmB-3X_hA;Dark Souls 1 Health, Sorcery-only, No shield, Gravelorded, Aggressive challenge run Part 1;LobosJr
0QkfH1rldGs;UC5G3hwgMUUlouYTgI_OVPuA;????????Dark Souls ??part1;?????
Ag2uMkU-Y0o;UCTlPCQjV82s8lN2At3bOVpg;Dark Souls Lore - Xanthous King Jeremiah;Silver Mont
5bqwpvxEUBU;UCMxsVULY_qsk_aNdAqzcNUA;DARK SOULS #12 - Peggiori 2 ore di gioco mai fatte;YotobiGames
jLqoNCqI8Ws;UC1B_JfwK3vkhm7VmB-3X_hA;Dark Souls Lore% Part 1;LobosJr
gvgtDDRHoBU;UCaSAM5kna2KyX-uVLSGr8PQ;Gameplay Dark Souls com Danilo Gentili;omeleteve
XkWmO7qYOy0;UCMxsVULY_qsk_aNdAqzcNUA;DARK SOULS #9 - Kirk tornatene nello spazio!;YotobiGames
3FiS3RpXvBY;UC1B_JfwK3vkhm7VmB-3X_hA;Dark Souls Weapon Swap Mod Challenge Run;LobosJr
fOEvfMZNePg;UC1B_JfwK3vkhm7VmB-3X_hA;Dark Souls 1 Million Souls Run;LobosJr
Aj9FIGY7YvA;UCMxsVULY_qsk_aNdAqzcNUA;DARK SOULS #8 - Capra!;YotobiGames
7sS3uKIZmV0;UC1B_JfwK3vkhm7VmB-3X_hA;Dark Souls All Bosses Race with Pancakeminer;LobosJr
sLSy2EEx-fs;UC1B_JfwK3vkhm7VmB-3X_hA;Dark Souls Dragon Punch Only run;LobosJr
KVQDNRXpzR0;UCQYkkC3Eb_0p08VqWQECfnQ;Dark Souls Lore, Historia 11- Tarkus;Acre
RV4ktYB5Kz0;UCMxsVULY_qsk_aNdAqzcNUA;DARK SOULS #5 - SONO UN IDIOTA ENORME;YotobiGames
c5wrBnJQRyI;UCId5mQSBVAOrOdLdfY1J4VQ;Dark Souls :: SPEED RUN (1:09:28) [PC] by Ubergoose #SGDQ 2013;SpeedDemosArchiveSDA
AtdbYk4kLnI;UCQYkkC3Eb_0p08VqWQECfnQ;Dark Souls Lore, Historia 4- Seath el descamado;Acre
PQypVe3grbw;UCQYkkC3Eb_0p08VqWQECfnQ;Dark Souls Lore, Historia 2- La bruja de Izalith;Acre
qtbRWaSh8hY;UCQYkkC3Eb_0p08VqWQECfnQ;Dark Souls Lore, Historia 3- Nito;Acre
tIpQBpg-5EA;UCQYkkC3Eb_0p08VqWQECfnQ;La historia de Dark Souls | Los 4 caballeros de Gwyn | 1: Ornstein;Acre
vhzbJC4Khjg;UC1B_JfwK3vkhm7VmB-3X_hA;Dark Souls Mimic Head/No Heal Challenge Run;LobosJr
8m1Zd__VMqg;UC1B_JfwK3vkhm7VmB-3X_hA;Dark Souls Bow-only No Lock-on challenge run;LobosJr
c79BNs4pmV4;UC1B_JfwK3vkhm7VmB-3X_hA;Dark Souls No Healing Items/No Bonfire Challenge Speedrun (no healing, leveling, attuning);LobosJr
87lArd4kuQk;UCuKweXt85_48rxbd94Un3oQ;Dark Souls, L'Anima della Sfida 2 - Trolling Lordran;Sabaku no Maiku
Old-NBeMi1A;UCKNJiTmKrur10zxStf5Gztw;Speed Game - Dark Souls - Fini en 57:16 (no glitch);NESblog / Speed Game
TBUBGDzLZ6Q;UCKNJiTmKrur10zxStf5Gztw;Speed Game Hors-Série: Dark Souls All Bosses en 1:37:14;NESblog / Speed Game
_T2xmLTinF8;UCKNJiTmKrur10zxStf5Gztw;Speed Game - Dark Souls - Fini en 26:58;NESblog / Speed Game
vXp3OaR9xJU;UCe0DNp0mKMqrYVaTundyr9w;The Second 10 Things You Didn't Know About Dark Souls!;VaatiVidya
1PX8y4GfBzc;UCy2jagZSDY7nS7bXDkVjD9g;Dark Souls (??? ???????? ??????? ???? ? ?????? ????);FlashWarrior ?????? ?? ?????
VZ_L6hA5LeE;UCe0DNp0mKMqrYVaTundyr9w;The First 10 Things You Didn't Know About Dark Souls!;VaatiVidya
2Va1MNWGc1M;UCtnmHPgmcQOxJKj1ZG4rmLw;Parte 2 / Masacre En Mi Recto / Recopilacion Muertes Dark Souls;Muzska89
PsluyPMqXTc;UCtnmHPgmcQOxJKj1ZG4rmLw;MASACRE EN MI RECTO / Recopilación Muertes en Dark Souls / Parte 1;Muzska89
MMvjCrCWZs8;UCRelpnzH9Yex_cPfqGxspnw;[DARK SOULS]????????????? PART-1[HD];y3tube
aBrggyq6Yzc;UCysD2z-V29qi4uEC1Fn8UDA;Dark Souls - 'Tool' Assisted SpeedRun;Ttanoraa
vqDySYlZfNY;UCe0DNp0mKMqrYVaTundyr9w;Dark Souls Story ? The Heroes of Firelink Shrine;VaatiVidya
l-i0RvmS-QI;UC1B_JfwK3vkhm7VmB-3X_hA;Dark Souls Fist Weapon Only speedrun PB 2:18:38;LobosJr
AEix6sRiAL4;UCe0DNp0mKMqrYVaTundyr9w;Dark Souls Story ? Big Hat Logan;VaatiVidya
3mlWvAYQreA;UCuKweXt85_48rxbd94Un3oQ;Dark Souls, L'Anima Oscura 7 - Ritorno alla Lore!;Sabaku no Maiku
1IoqJdmLOEI;UCuKweXt85_48rxbd94Un3oQ;Dark Souls, L'Anima Oscura 6 - F*****o Città Infame;Sabaku no Maiku
atDT82_QUuQ;UCCqnN6ApN4VO9uKOpCoDxww;LORE - Dark Souls Lore in a Minute!;LORE
QEpFS0RHlW8;UCmEClzCBDx-vrt0GuSKBd9g;Dark Souls - O jogo mais fácil do mundo! | NerdPlayer;Jovem Nerd
s8sZkk4HKCo;UCw5D2fVnYmxdJASJkLudWFA;Guía Dark Souls - Tumba de los Gigantes - Matar a Nito, el Rey del Cementerio;Blarzek
uItoZfcK524;UCe0DNp0mKMqrYVaTundyr9w;DARK SOULS Lore in a Minute!;VaatiVidya
