id/videoId;snippet/channelId;snippet/title;snippet/channelTitle
hRone5bA3Rs;UCMerNanycqg8b7JfhngNoGw;Dark Souls | Intente matar a los 4 reyes pero matamos a gwndolin :u | En directo | #8;Okami Kirios6854
iDvVrUVoJBs;UCoal_hpPIPAnWlG-kWHLheA;Dark Souls Boss Challenge (ft. Jaiden Animations);The Drawfee Channel
n1soujoCx9Q;UCciq0LOw8g7wRQ2HOptkBfw;"Zagrajmy w: Dark Souls 2: Scholar of the First Sin | #12 - ""Stra?nicy Ruin"" | PS4";VES\Gaming
F9rrf4pNpU8;UCrZOsOcRZLz61ylxSJG9Mqg;DARK SOULS III ep 2 : il patto della via blu;Franco arturocipolluto
xgox6Gaho7g;UCDhBcPs2iVKBuVYQSEGFFTQ;Dark Souls - Death and Success: Episode 3 | The Computer Game Show;The Computer Game Show
91kHUBBpzIk;UCf-O23VSWsqTdQwkvXgL4YA;Abyss Watchers - Darks Souls 3;Wilson Diego
jdNnv-MCRnc;UC87jyQo9MtToXFI6uGiSEew;Dark souls 3 | primera vez en Ps4 |;EDENPEYT58
MoDBNhr40Rg;UCDhBcPs2iVKBuVYQSEGFFTQ;Dark Souls - Death and Success: Episode 2 | The Computer Game Show;The Computer Game Show
4jmdvOncGZU;UCvTnhp9Jb6m8Yd26x_q83eQ;Dark Souls 3 -  Parry everything;Xander1097
eBdmzXecqSo;UCuuQX6Lqc78_CL_SaKLwNoQ;DARK SOUL 3 #1 - ????????? ???? (???????? ????);ICE_MAN
lwETLdq6P0Q;UCA7-KUzOQF-qk46knmCnCmg;Los 10 OBJETOS MAS DIFICILES de conseguir en DARK SOULS 2;Powerbazinga TV
lcnGz7PepwE;UCciq0LOw8g7wRQ2HOptkBfw;"Zagrajmy w: Dark Souls 2: Scholar of the First Sin | #6 - ""Ostatni Olbrzym"" | PS4";VES\Gaming
HA1pks3JluE;UCqwGaUvq_l0RKszeHhZ5leA;Dark Souls 3 Livestream #4 mit Peter & Chris;PietSmiet
8DHidQHxtdc;UCciq0LOw8g7wRQ2HOptkBfw;"Zagrajmy w: Dark Souls 2: Scholar of the First Sin | #5 - ""Prze?ladowca"" | PS4";VES\Gaming
TUdP_hzHvns;UC5GSO2hiHevgZUhSQIJNd2A;NEW! QDSS VS DARK SOULS DA TAVOLO;Quei Due Sul Server 2
1XbBXpDXWhQ;UC5GSO2hiHevgZUhSQIJNd2A;DARK SOULS Gioco da Tavolo: Regolamento SPIEGATO;Quei Due Sul Server 2
GAyqULHpdGQ;UCDhBcPs2iVKBuVYQSEGFFTQ;Dark Souls - Death and Success: Episode 1 | The Computer Game Show;The Computer Game Show
7dPxOOMqXTQ;UCU4qQfcYujTxNnVw_sFPv4g;Stream Highlights ?? Dark Souls 3 mit Chris und Peter;GameCraftOP
ZiJFqjeS5aI;UC89OysybmzhHI_xJqIOXX8Q;The surge DEMO | JUST LIKE DARK SOULS! |;Wolf GamingCZ
CvUD1OD8jRk;UCqwGaUvq_l0RKszeHhZ5leA;DarkSouls 3 #3 Couchgeflüster mit Piet & Chris;PietSmiet
oR_muhK80UA;UCOWNEYvv2CdnNiSo0b4cWog;¡ESTO ES DARK SOULS!;Pepe Forner
62jLxzgzrbQ;UCP5aP6ePxFtyMr7mlzvmu3Q;??? ????? ????????? ???????? ???? Dark souls 2;dzirt dzirt
TeKybM0rK6I;UCY2yS6B1KplK2WHBUJg3HWQ;#2 ?Dark Souls 3: The Ringed City ???????-??? ????? ?(NG+2, XBOX ONE);EvgenOnePlay
osZZa4N3krI;UCJxpYXfKlBu3ZuCZKn6LDyw;???? Dark Souls – ?????? 18 - ????? ???????;Venomous Salim
TSYol1xdT78;UCrsM7HOF_WQfZ2uLI0N0omQ;Dark Souls ?????? ???? Steam;???? STEAM ?????????
U2gy--Y3F5g;UCrsM7HOF_WQfZ2uLI0N0omQ;Dark Souls ???? Steam;???? STEAM ?????????
9zRhzGZw_EU;UCwuKwSrT8Ha-lVjU-LwhMmg;Skyrim?Darksouls  - Ultimate dodge + spear animation;Inpa
lZxXP5bF56k;UCvmF_tzu-eK6FRfMlOp6-Fg;DARK SOULS, mejores momentos - TERCERA PARTE!;Eurogamerspain
bxI48mA9Y8s;UCY2yS6B1KplK2WHBUJg3HWQ;#8 ?Dark Souls 3??????? + ?????????? ???????? ?????? ?(NG+2, XBOX ONE);EvgenOnePlay
VWtTda8VR3Y;UCY2yS6B1KplK2WHBUJg3HWQ;#7 ?Dark Souls 3????????? ???????? + ????????? ????? ?(NG+2, XBOX ONE);EvgenOnePlay
0rrcgnsN3EY;UC9JZavLIaJRBDoBCQQOk6rQ;more dark souls;Dogl
WCwQMQwEm-Q;UCA7-KUzOQF-qk46knmCnCmg;Las 10 ARMAS MAS RARAS de Dark Souls (1, 2 y 3);Powerbazinga TV
BQJwXjEvCtw;UCqwGaUvq_l0RKszeHhZ5leA;Piet und Chris haben Dark Souls 3 verstanden! ?? Stream Highlights;PietSmiet
zF6QVgODuF8;UCqEWf9AWIwOiqyj8TherGQQ;LA HACHE FOUDROYANTE QUI CASSE DES BOUCHES - Dark Souls 3 feat. sunbro;Graphtag
7-BFFrVHnUE;UCrsM7HOF_WQfZ2uLI0N0omQ;Dark Souls 2 ?????? ???? Steam;???? STEAM ?????????
vo1U4bkJMJ8;UCVe9bKkkcxwhZubiq7sDToQ;DARK SOULS II(2) ?????? ?????????;GranDzhem Gaming
_SuMKRckSwE;UCvmF_tzu-eK6FRfMlOp6-Fg;DARK SOULS, mejores momentos - ¡Segunda parte!;Eurogamerspain
