id/videoId;snippet/channelId;snippet/title;snippet/channelTitle
_RBz7NCew10;UCZXd9fA9CpPUvF1H5Nmi8Qg;Dark Souls Prepare to Die Edition 6(G) Bli?niacy z dachu parafii;Grzechu 40
XJjOuzPncoI;UCA7-KUzOQF-qk46knmCnCmg;10 cosas que AMAN los jugadores de Dark Souls;Powerbazinga TV
W1gYDLHTt8w;UCQYkkC3Eb_0p08VqWQECfnQ;LO MEJOR Y LO PEOR DE DARK SOULS;Acre
P-fD7gBGUiA;UCSFMCn1xtj_4kOy6KNK_fNg;BÉKA SZAGOT ÉRZEK... | Dark Souls II: Scholar of the First Sin #6 ALL BOSS - NO SUMMON #PC - 12.11.;TheVR Streamek Official
lHd3_XsTxNg;UCEqc1WYZ4u5rkcYbLV715bg;Dark Souls: The Crash Bandicoot of Action RPGs - EPISODE 1 - Friends Without Benefits;Friends Without Benefits
-gU882qy1xY;UCvO9Xk3bheuxEemvknCj72g;Indie Moments: 5 Video Games To Play If You Love Dark Souls;WhatCulture Gaming
OIr4QmSrPWM;UC3g50Yr3GFPYrBj-n55BdqA;The Dark Souls Of Legless Climbing Simulators! Getting Over It Part 3;Grand POOBear
6UHhebOjSng;UCSFMCn1xtj_4kOy6KNK_fNg;A NAGY RONDA SOKLÁBÚ POCH... | Dark Souls II: Scholar of the First Sin #5 ALL BOSS #PC - 12.04.;TheVR Streamek Official
CLDrpKFRLzc;UCSFMCn1xtj_4kOy6KNK_fNg;IRÁNY A LYUK!!!! | Dark Souls II: Scholar of the First Sin #4 ALL BOSS #PC - 12.01.;TheVR Streamek Official
W8jT6tYRc9A;UC78CQ3aNPBG9X_qgAVyDAVA;Dark Souls III | Part 1 - Iudex Gundyr & B(V)ordt of the Boreal Valley;Heroes Of The Light
Oq--rvANPUc;UCvmF_tzu-eK6FRfMlOp6-Fg;MEJORES MOMENTOS jugando a DARK SOULS - ¡Todas las MUERTES de ENROQUE!;Eurogamerspain
SCqjurgO4W0;UCTlPCQjV82s8lN2At3bOVpg;Dark Souls Lore - The Firekeeper;Silver Mont
nbHJbNfQSFc;UCSFMCn1xtj_4kOy6KNK_fNg;R1 SPAM ALL DAY... | Dark Souls II: Scholar of the First Sin ALL BOSS #PC - 11.27.;TheVR Streamek Official
30QbElguAMQ;UCnte0f17KY-buLVYsqJ-L5g;What if: EA made DARK SOULS? - (Ajit Pai included);Abject
n8xn0S2GVPU;UC6-GOlDv0TZSUoYvh4n7uUA;Fredd juega Dark Souls con pistolas y sale mal;masterlasheron
y9mLgXDieLg;UCTyA1ortyWPc1uLF5cbzluA;Maddyson Subday: theHunter, Dark Souls, Doki Doki;Mad Highlights
6-7ZLB76O7Q;UCBy3xWsb_0ZFThCf2F0pnMQ;How Dark Souls was meant to be modded;Comrade Supreme
8eodaGArCrU;UCWEYZl2KphZGKc-ySbad4zA;Dark Souls [all bosses, no deaths] #3;Alone Wave
PJDjMfjM95Y;UCjoKyJSPrvt4H9jX8iNV_2g;DARK SOULS 3 | EPISODIO #1 | COMIENZA EL SADOMASOQUISMO - Gameplay Español - PC;DeiGamer
CMIst4AIMjM;UCvax7WLz8o2UtGS-FL8bW4g;OS CHEFES MAIS DIFÍCEIS DE DARK SOULS (FRANQUIA SOULS);HadesPlays
JRP8QH_CxpY;UCa_k-ynVzD_x4jbsq1vJCJw;????? ?????? ? DARK SOULS (??????);OneKing
YCAfHqIB0JE;UCwuKwSrT8Ha-lVjU-LwhMmg;Skyrim+DarkSouls - 1hm/2hm motion;Inpa
G6oN7oALZAE;UCrsM7HOF_WQfZ2uLI0N0omQ;Dark Souls ?????? ???? Steam;???? STEAM ?????????
l_lVOu8Aj9U;UCRnNP6x4t-w0GxwUHUKlZhQ;DARK SOULS 3 #1 EMPEZAMOS LA AVENTURA |BUILD DE QUALITY|;imCervero
W9NMpYPFP4I;UCMaikIXU5cF6nS2YgJPYQsQ;Ruby Weapon Hour - Dark Souls (Part 17) 2017-11-05;PeachSaliva
-_1o553FDpQ;UCTlPCQjV82s8lN2At3bOVpg;Dark Souls Lore - Ludleth of Courland;Silver Mont
FiSRYu6fhgI;UCSa-d35XCyltUYHZBDbq5mg;?? ?????????! // Dark Souls 2 ??????? #4;?????
9Cyi1iBwTcg;UCBH7-DyHHwIaOP7DTb4cV9g;Assassin's Creed Origins  - Dark Souls Easter Egg;Zay Jonathan
6DMpNd4q43g;UCODPpw7esA6NKnxgI7vK85w;L'HISTOIRE PART EN VRILLE ! [ÇAVAVITE!] Dark Souls #04;Need Backup !
gwjq2dK2XGQ;UCCqnN6ApN4VO9uKOpCoDxww;DARK SOULS 3: Are You Afraid of the Dark? | LORE in a Minute! | Lords of Cinder | LORE;LORE
8fLyzWOE3VE;UCj1VtyR2BOXs9aD5GWuzQNA;Havel der Stein! ...Dark Souls.;MythosOfPlaying
ZGeItSiAClg;UCwuKwSrT8Ha-lVjU-LwhMmg;Skyrim+DarkSouls - Arena++;Inpa
9Q9_Uea0OgI;UCSa-d35XCyltUYHZBDbq5mg;??? ?????? ???? ????? // Dark Souls 2 ??????? #2;?????
2hZRAOD7QWE;UC8JCpDIiCUFaSR5VUr7tyjA;DARK SOULS Lore/História - Nito, O Primeiro dos Mortos;Lar dos Games
4yfTjRi52ig;UCuKweXt85_48rxbd94Un3oQ;"Il Dark Souls delle Recensioni di ""Cuphead""";Sabaku no Maiku
STvKM4-hRGY;UCSa-d35XCyltUYHZBDbq5mg;???????? ???? // Dark Souls 2 ??????? #1;?????
2fjg65dL37c;UC4Wa6mgRXMalqTsdwgS0D0g;Dark Souls Meets Zelda;TheMasterOfDooM
heXUtbKQA8U;UCMR98HM7DeK21qydf885QhA;JAK PRZESTA?EM BY? CASUALEM - krótko o Dark Souls III (recenzja);ZagrajnikTV
EMes-Nv4kGs;UCHMIb2Xo03ri9FxFkktk3tw;??????, Dark Souls !;CustomStories
hFxqqpdzHCI;UCv19bD3h1dfYjVTj3v7R9yA;??????????? ? ???????. ??????? ? ???? Dark Souls c ??????? ??????????? (#1);4game
HO3bMgVVZXY;UCFiI5zUTV3WFODN6jIE1qxQ;LORE INFORMAL - GWYNEVERE, AMIGA DO PEITO - DARK SOULS #4;ERA Games
JWj0JR6oTb0;UCH7vazfQkjRfpCa7ShQH7lQ;??? ??????? ?????? - ?????? (DOTA 2, PUBG, CS:GO, DARK SOULS 3);GetFuckShow
1mqZxrXHcMI;UCqg5FCR7NrpvlBWMXdt-5Vg;Yahtzee annoys his girlfriend with Dark Souls (episode 10);Escapist
7Nred6gQEBc;UCG3DoKu53xn9b7s305-DHUQ;COMPARAN ESTE JUEGO CON DARK SOULS CON LO FACIL QUE ESTA? ENSERIO!?!? | Cup Head;ElFikuWTF!
8aWthBSuBpI;UCddN6tViXZMEOfvO-rqfbNg;LUAN GAMEPLAYS JOGANDO DARK SOULS 3 - PATRICK ME PERTUBANO;CANAL DO LUAN
Sc9j7YBcVO8;UCMbODX1-hUGwrGj-nvcDRPQ;Dark Souls Baby Eating Camera Meme ORIGINAL;The Shitpost King
ZpvL3nm_r8A;UCvax7WLz8o2UtGS-FL8bW4g;A DIFICULDADE DE CUPHEAD DEIXA DARK SOULS NO CHINELO?;HadesPlays
h1iVDnAliIU;UCkw-iv2kdXhLHh83SILvscQ;???? ??????? ?? Dark Souls ??? ??;GrinKing
ZRgKpMX7aPk;UCHMIb2Xo03ri9FxFkktk3tw;10 ?????? ??????? ????????? ??????? ????? ?????? ? DARK SOULS;CustomStories
JwLCcCh-j70;UCVIja5Pe_zflIDue13FUrmQ;E SE DARK SOULS FOSSE NA BAHIA? EP. #05 - Os humilhados serão exaltados;Seu Pimenta Tv
