id/videoId;snippet/channelId;snippet/title;snippet/channelTitle
gM-fA1YeycU;UCuxfOdbKQy0tgGXcm9sjHiw;DESAFIO CUMPRIDO! - Dark Souls 2: Smelter Demon;Coisa de Nerd
SMlDBNbuX4M;UCOXpOY9eQHRvnSXnO31mSUA;Dark Souls 2 - ??? ??????? ? ?????? ???????.;Bes Poleznyi
jSUqjRPGh8w;UCtnmHPgmcQOxJKj1ZG4rmLw;DARK SOULS NO ES DIFICIL;Muzska89
IBc0WKD90ig;UCL7JL6A3ClFkopUVlugiVZg;PEDAZO DE DLC! Dark Souls DLC #1 en Español - GOTH;Jaidefinichon GOTH
3R3DsRXgz90;UCL7JL6A3ClFkopUVlugiVZg;DRAGONES.GIF Dark Souls II #14 en Español - GOTH;Jaidefinichon GOTH
0oy2oBb-2nA;UCG8ZcwgThN8naP7pGxtNECA;FRISS MEINE BROTWURST! - Dark Souls 2 [Part 3];BrotWurst
57cRy-j81ck;UCL7JL6A3ClFkopUVlugiVZg;Dark Souls II #11 en Español - GOTH;Jaidefinichon GOTH
gByQBT7i5Ag;UC_eA572lBzVkpXhoeWnqSKQ;I DIFETTI DI DARK SOULS 2 feat. SABAKU NO MAIKU;Quei Due Sul Server
whTV0-R8AUA;UCCVeGyp5bq2wOYz5AizWbNw;10 ????? ????????? ???? ? Dark Souls 2 (??? ???????);Will MaX
9hhi40Lu4Xw;UCCVeGyp5bq2wOYz5AizWbNw;10 ????? ????????? ???? ? Dark Souls 2 (???????);Will MaX
QPTaWpIk2pM;UCI95an3-hKt0XnzART-VyPA;Dark Souls 2: [Bug] Voando, Atravessando Paredes e Super Velocidade!;Filipe Ramos
jaS_lXnkiDY;UCCVeGyp5bq2wOYz5AizWbNw;10 ????? ????????? ???? ? Dark Souls 2 (??????????);Will MaX
PY0Qg4L623A;UCCVeGyp5bq2wOYz5AizWbNw;Dark Souls 2 ??? - ?????: ??????????!;Will MaX
ewC1_FYRqa8;UCbu2SsF-Or3Rsn3NxqODImw;Dark Souls in Skyrim - Top 5 Skyrim Mods of the Week;GameSpot
5_ZnnIaWco8;UCylfxXlnvdvjP3CmfwJN_Jg;Maddyson ?????? ? Dark Souls 2;Maddyblog
6QzbAxE72ik;UCWnNKC1wrH_NXAXc5bhbFnA;?????????? 35: Dark Souls 2, ?all of Duty Advanced Warfare;Dmitry Puchkov
DQujdsnRmmQ;UCy1gMlw9oi43htttZZJG6zg;Dark Souls fan art -  Ornstein you are not alone!;SerValt
Qn58C3GtQtY;UCCVeGyp5bq2wOYz5AizWbNw;10 ????? ????????? ???? ? Dark Souls 2 (??? ?????? ????????);Will MaX
Z2MdmiDGqCQ;UCL7JL6A3ClFkopUVlugiVZg;Dark Souls 2 - Ep.2 (El regreso del Argentino) en Español - GOTH;Jaidefinichon GOTH
SeX_aVGh4os;UCI95an3-hKt0XnzART-VyPA;"Dark Souls 2: Arma ""Secreta"", Pickaxe!";Filipe Ramos
IHMKTqhHq7E;UCrt_PUTF9LdJyuDfXweHwuQ;Chroniques de Mr. Plouf #35 - Dark Souls 2;Monsieur Plouf
DctE1H16UhU;UCCVeGyp5bq2wOYz5AizWbNw;Dark Souls: 5 ????? ? ??????? ?? ????? ?? ?????;Will MaX
HyBK9FpZTms;UCL7JL6A3ClFkopUVlugiVZg;Dark Souls 2 (El Argentinoooo) Rancio Gaming en Es;Jaidefinichon GOTH
