id/videoId;snippet/channelId;snippet/title;snippet/channelTitle
V9nGEVzTlVg;UCSBpMpQo4iKnzoGhUpS8sSw;DER HORROR GEHT WIEDER LOS !! Resident Evil 7 DLC #1 ??????;FeelGamingTV
mlwaJzOZEQc;UC1KysDNrX5h8f5Hid62wX_Q;??Resident Evil 7  ??? ???;GAMER SNACK | ???? ????
UxAZ5ZFNN38;UC6UTBWQJOvtGIjdBcC7WwPw;OVERLEVEN IN EEN GROOT VERLATEN BOS!! - Resident Evil 7 End of Zoe DLC #1 (Nederlands);Royalistiq
EhGxwquNG5c;UC3J4Q1grz46bdJ7NJLd4DGw;Akhir Riwayat Lucas - RESIDENT EVIL 7 - Not A Hero - Indonesia #3 (END);MiawAug
4rlUkAUkTbg;UCP5lXM0RlhQgek9atfRmuwA;NoThx playing Resident Evil VII | End Of Zoe DLC EP01;NoThxTV
ZbuCXKVN90w;UCdKuE7a2QZeHPhDntXVZ91w;?????? ????? ? Resident Evil 7: End of Zoe #1;Kuplinov ? Play
0AtDL1XfrRI;UC7xyigLWA3fbamC_V3pFaJg;LA ESPERA TERMINO!! - NOT A HERO/RESIDENT EVIL 7 | #1;MaxielPRO
6iKGHqZNpMI;UCtZP0L7yoEycj6w-f7uVNaA;Resident Evil 7 End Of Zoe - Let's Play #1 [FR];ExVSK
N-8x6L9WSX0;UCFLARbB5JTlJU9sY2Vcev1Q;Es macht so FUN ?? Zoes Ende | Resident Evil 7 Deutsch/German;Sev
d9JWOvSBecg;UCUGkSxaVP_65NyK8fUqPRIg;KORKUYA KALDI?I YERDEN DEVAM | Resident Evil 7 Not A Hero Türkçe;Easter GamersTv
Fw_mIJg93dY;UCY8iijN1AkyDCh1Z9akcqUA;RESIDENT EVIL 7: END OF ZOE - #1: O Irmão PORRADEIRO do Paizão!!;funkyblackcat
7brUlJYxK8k;UCdKuE7a2QZeHPhDntXVZ91w;????? ????? ? ???? ? Resident Evil 7: Not a Hero #1;Kuplinov ? Play
hOZdAGfEqtY;UCVuIAsy-JHi1K-wO-aYfhtA;RESIDENT EVIL 7 #10 - UMA ESCOLHA DIFÍCIL (Gameplay Português PT-BR);Overman
